Time[s], Channel 0, Channel 1
0.36999632, 1, 1
0.37000136, 0, 1
0.37000640, 1, 1
0.37001144, 0, 1
0.37001648, 1, 1
0.37002152, 0, 1
0.37002656, 1, 1
0.37003160, 0, 1
0.37003412, 0, 0
0.37003664, 1, 0
0.37004168, 0, 0
0.37004190, 0, 1
0.37004672, 1, 1
0.37005176, 0, 1
0.37005680, 1, 1
0.37006184, 0, 1
0.37006688, 1, 1
0.37007192, 0, 1
0.37007696, 1, 1
0.37008200, 0, 1
0.37008704, 1, 1
0.37009208, 0, 1
0.37009712, 1, 1
0.37010216, 0, 1
0.37010720, 1, 1
0.37011224, 0, 1
0.37011728, 1, 1
0.37012232, 0, 1
0.37012484, 0, 0
0.37012736, 1, 0
0.37013240, 0, 0
0.37013262, 0, 1
0.37013744, 1, 1
0.37014248, 0, 1
0.37014752, 1, 1
0.37015256, 0, 1
0.37015760, 1, 1
0.37016264, 0, 1
0.37016768, 1, 1
0.37017272, 0, 1
0.37017776, 1, 1
0.37018280, 0, 1
0.37018784, 1, 1
0.37019288, 0, 1
0.37019792, 1, 1
0.37020296, 0, 1
0.37020800, 1, 1
0.37021304, 0, 1
0.37021556, 0, 0
0.37021808, 1, 0
0.37022312, 0, 0
0.37022334, 0, 1
0.37022816, 1, 1
0.37023320, 0, 1
0.37023824, 1, 1
0.37024328, 0, 1
0.37024832, 1, 1
0.37025336, 0, 1
0.37025840, 1, 1
0.37026344, 0, 1
0.37026848, 1, 1
0.37027352, 0, 1
0.37027856, 1, 1
0.37028360, 0, 1
0.37028864, 1, 1
0.37029368, 0, 1
0.37029872, 1, 1
0.37030376, 0, 1
0.37030628, 0, 0
0.37030880, 1, 0
0.37031384, 0, 0
0.37031406, 0, 1
0.37031888, 1, 1
0.37032392, 0, 1
0.37032896, 1, 1
0.37033400, 0, 1
0.37033904, 1, 1
0.37034408, 0, 1
0.37034912, 1, 1
0.37035416, 0, 1
0.37035920, 1, 1
0.37036424, 0, 1
0.37036928, 1, 1
0.37037432, 0, 1
0.37037936, 1, 1
0.37038440, 0, 1
0.37038944, 1, 1
0.37039448, 0, 1
0.37039952, 1, 1
0.37040456, 0, 1
0.37040708, 0, 0
0.37040960, 1, 0
0.37041212, 1, 1
0.37041464, 0, 1
0.37105474, 1, 1
0.37105726, 1, 0
0.37105978, 0, 0
0.37106230, 0, 1
0.37106482, 1, 1
0.37106986, 0, 1
0.37107238, 0, 0
0.37107490, 1, 0
0.37107994, 0, 0
0.37108246, 0, 1
0.37108498, 1, 1
0.37109002, 0, 1
0.37109254, 0, 0
0.37109506, 1, 0
0.37110010, 0, 0
0.37110514, 1, 0
0.37111018, 0, 0
0.37111270, 0, 1
0.37111522, 1, 1
0.37112026, 0, 1
0.37112278, 0, 0
0.37112530, 1, 0
0.37113034, 0, 0
0.37113286, 0, 1
0.37113538, 1, 1
0.37114042, 0, 1
0.37114294, 0, 0
0.37114546, 1, 0
0.37115050, 0, 0
0.37115554, 1, 0
0.37116058, 0, 0
0.37116562, 1, 0
0.37116662, 1, 1
0.37117066, 0, 1
0.37117570, 1, 1
0.37118074, 0, 1
0.37118578, 1, 1
0.37119082, 0, 1
0.37119586, 1, 1
0.37120090, 0, 1
0.37120594, 1, 1
0.37121098, 0, 1
0.37121602, 1, 1
0.37122106, 0, 1
0.37122610, 1, 1
0.37123114, 0, 1
0.37123366, 0, 0
0.37123618, 1, 0
0.37124122, 0, 0
0.37124144, 0, 1
0.37124626, 1, 1
0.37125130, 0, 1
0.37125634, 1, 1
0.37126138, 0, 1
0.37126642, 1, 1
0.37127146, 0, 1
0.37127650, 1, 1
0.37128154, 0, 1
0.37128658, 1, 1
0.37129162, 0, 1
0.37129666, 1, 1
0.37130170, 0, 1
0.37130674, 1, 1
0.37131178, 0, 1
0.37131682, 1, 1
0.37132186, 0, 1
0.37132438, 0, 0
0.37132690, 1, 0
0.37133194, 0, 0
0.37133216, 0, 1
0.37133698, 1, 1
0.37134202, 0, 1
0.37134706, 1, 1
0.37135210, 0, 1
0.37135714, 1, 1
0.37136218, 0, 1
0.37136722, 1, 1
0.37137226, 0, 1
0.37137730, 1, 1
0.37138234, 0, 1
0.37138738, 1, 1
0.37139242, 0, 1
0.37139746, 1, 1
0.37140250, 0, 1
0.37140754, 1, 1
0.37141258, 0, 1
0.37141510, 0, 0
0.37141762, 1, 0
0.37142266, 0, 0
0.37142290, 0, 1
0.37142770, 1, 1
0.37143274, 0, 1
0.37143778, 1, 1
0.37144282, 0, 1
0.37144786, 1, 1
0.37145290, 0, 1
0.37145794, 1, 1
0.37146298, 0, 1
0.37146802, 1, 1
0.37147306, 0, 1
0.37147810, 1, 1
0.37148314, 0, 1
0.37148818, 1, 1
0.37149322, 0, 1
0.37149826, 1, 1
0.37150330, 0, 1
0.37150582, 0, 0
0.37150834, 1, 0
0.37151338, 0, 0
0.37151362, 0, 1
0.37151842, 1, 1
0.37152346, 0, 1
0.37152850, 1, 1
0.37153354, 0, 1
0.37153858, 1, 1
0.37154362, 0, 1
0.37154866, 1, 1
0.37155370, 0, 1
0.37155874, 1, 1
0.37156378, 0, 1
0.37156882, 1, 1
0.37157386, 0, 1
0.37157890, 1, 1
0.37158394, 0, 1
0.37158898, 1, 1
0.37159402, 0, 1
0.37159654, 0, 0
0.37159906, 1, 0
0.37160410, 0, 0
0.37160434, 0, 1
0.37160914, 1, 1
0.37161418, 0, 1
0.37161922, 1, 1
0.37162426, 0, 1
0.37162930, 1, 1
0.37163434, 0, 1
0.37163938, 1, 1
0.37164442, 0, 1
0.37164946, 1, 1
0.37165450, 0, 1
0.37165954, 1, 1
0.37166458, 0, 1
0.37166962, 1, 1
0.37167466, 0, 1
0.37167970, 1, 1
0.37168474, 0, 1
0.37168978, 1, 1
0.37169482, 0, 1
0.37169734, 0, 0
0.37169986, 1, 0
0.37170238, 1, 1
0.37170490, 0, 1
0.38321400, 1, 1
0.38321650, 1, 0
0.38321902, 0, 0
0.38322154, 0, 1
0.38322408, 1, 1
0.38322910, 0, 1
0.38323162, 0, 0
0.38323416, 1, 0
0.38323918, 0, 0
0.38324172, 0, 1
0.38324424, 1, 1
0.38324926, 0, 1
0.38325178, 0, 0
0.38325432, 1, 0
0.38325934, 0, 0
0.38326440, 1, 0
0.38326942, 0, 0
0.38327196, 0, 1
0.38327448, 1, 1
0.38327950, 0, 1
0.38328202, 0, 0
0.38328456, 1, 0
0.38328958, 0, 0
0.38329464, 1, 0
0.38329968, 0, 0
0.38330472, 1, 0
0.38330976, 0, 0
0.38331480, 1, 0
0.38331984, 0, 0
0.38332488, 1, 0
0.38332992, 0, 0
0.38333496, 1, 0
0.38334000, 0, 0
0.38334504, 1, 0
0.38335008, 0, 0
0.38335512, 1, 0
0.38336016, 0, 0
0.38336520, 1, 0
0.38337024, 0, 0
0.38337528, 1, 0
0.38338032, 0, 0
0.38338536, 1, 0
0.38339040, 0, 0
0.38339544, 1, 0
0.38340048, 0, 0
0.38340110, 0, 1
0.38340300, 0, 0
0.38340552, 1, 0
0.38340804, 1, 1
0.38341056, 0, 1
0.38405064, 1, 1
0.38405316, 1, 0
0.38405568, 0, 0
0.38405820, 0, 1
0.38406072, 1, 1
0.38406576, 0, 1
0.38406828, 0, 0
0.38407080, 1, 0
0.38407584, 0, 0
0.38407836, 0, 1
0.38408088, 1, 1
0.38408592, 0, 1
0.38408844, 0, 0
0.38409096, 1, 0
0.38409600, 0, 0
0.38410104, 1, 0
0.38410608, 0, 0
0.38410860, 0, 1
0.38411112, 1, 1
0.38411616, 0, 1
0.38411868, 0, 0
0.38412120, 1, 0
0.38412624, 0, 0
0.38412876, 0, 1
0.38413130, 1, 1
0.38413632, 0, 1
0.38413884, 0, 0
0.38414136, 1, 0
0.38414640, 0, 0
0.38415144, 1, 0
0.38415146, 0, 0
0.38415148, 1, 0
0.38415648, 0, 0
0.38416156, 1, 0
0.38416178, 1, 1
0.38416656, 0, 1
0.38417162, 1, 1
0.38417664, 0, 1
0.38418170, 1, 1
0.38418672, 0, 1
0.38419178, 1, 1
0.38419680, 0, 1
0.38420186, 1, 1
0.38420688, 0, 1
0.38421194, 1, 1
0.38421698, 0, 1
0.38422202, 1, 1
0.38422706, 0, 1
0.38422956, 0, 0
0.38423210, 1, 0
0.38423712, 0, 0
0.38423736, 0, 1
0.38424218, 1, 1
0.38424722, 0, 1
0.38425226, 1, 1
0.38425730, 0, 1
0.38426234, 1, 1
0.38426738, 0, 1
0.38427242, 1, 1
0.38427746, 0, 1
0.38428250, 1, 1
0.38428754, 0, 1
0.38429258, 1, 1
0.38429762, 0, 1
0.38430266, 1, 1
0.38430770, 0, 1
0.38431274, 1, 1
0.38431778, 0, 1
0.38432030, 0, 0
0.38432282, 1, 0
0.38432786, 0, 0
0.38432808, 0, 1
0.38433290, 1, 1
0.38433794, 0, 1
0.38434298, 1, 1
0.38434802, 0, 1
0.38435306, 1, 1
0.38435810, 0, 1
0.38436314, 1, 1
0.38436818, 0, 1
0.38437322, 1, 1
0.38437826, 0, 1
0.38438330, 1, 1
0.38438834, 0, 1
0.38439338, 1, 1
0.38439842, 0, 1
0.38440346, 1, 1
0.38440850, 0, 1
0.38441102, 0, 0
0.38441354, 1, 0
0.38441858, 0, 0
0.38441880, 0, 1
0.38442362, 1, 1
0.38442866, 0, 1
0.38443370, 1, 1
0.38443874, 0, 1
0.38444378, 1, 1
0.38444882, 0, 1
0.38445386, 1, 1
0.38445890, 0, 1
0.38446394, 1, 1
0.38446898, 0, 1
0.38447402, 1, 1
0.38447906, 0, 1
0.38448410, 1, 1
0.38448914, 0, 1
0.38449418, 1, 1
0.38449922, 0, 1
0.38450174, 0, 0
0.38450426, 1, 0
0.38450930, 0, 0
0.38450952, 0, 1
0.38451434, 1, 1
0.38451938, 0, 1
0.38452442, 1, 1
0.38452946, 0, 1
0.38453450, 1, 1
0.38453954, 0, 1
0.38454458, 1, 1
0.38454962, 0, 1
0.38455466, 1, 1
0.38455970, 0, 1
0.38456474, 1, 1
0.38456978, 0, 1
0.38457482, 1, 1
0.38457986, 0, 1
0.38458490, 1, 1
0.38458994, 0, 1
0.38459246, 0, 0
0.38459498, 1, 0
0.38460002, 0, 0
0.38460024, 0, 1
0.38460506, 1, 1
0.38461010, 0, 1
0.38461514, 1, 1
0.38462018, 0, 1
0.38462522, 1, 1
0.38463026, 0, 1
0.38463530, 1, 1
0.38464034, 0, 1
0.38464538, 1, 1
0.38465042, 0, 1
0.38465546, 1, 1
0.38466050, 0, 1
0.38466554, 1, 1
0.38467058, 0, 1
0.38467562, 1, 1
0.38468066, 0, 1
0.38468570, 1, 1
0.38469074, 0, 1
0.38469326, 0, 0
0.38469578, 1, 0
0.38469830, 1, 1
0.38470082, 0, 1
0.38534092, 1, 1
0.38534344, 1, 0
0.38534596, 0, 0
0.38534848, 0, 1
0.38535100, 1, 1
0.38535604, 0, 1
0.38535856, 0, 0
0.38536108, 1, 0
0.38536612, 0, 0
0.38536864, 0, 1
0.38537116, 1, 1
0.38537620, 0, 1
0.38537872, 0, 0
0.38538124, 1, 0
0.38538628, 0, 0
0.38539132, 1, 0
0.38539636, 0, 0
0.38539888, 0, 1
0.38540140, 1, 1
0.38540644, 0, 1
0.38540896, 0, 0
0.38541148, 1, 0
0.38541652, 0, 0
0.38541904, 0, 1
0.38542156, 1, 1
0.38542660, 0, 1
0.38542912, 0, 0
0.38543164, 1, 0
0.38543668, 0, 0
0.38544172, 1, 0
0.38544676, 0, 0
0.38545180, 1, 0
0.38545268, 1, 1
0.38545684, 0, 1
0.38546188, 1, 1
0.38546692, 0, 1
0.38547196, 1, 1
0.38547700, 0, 1
0.38548204, 1, 1
0.38548708, 0, 1
0.38549212, 1, 1
0.38549716, 0, 1
0.38550220, 1, 1
0.38550724, 0, 1
0.38551228, 1, 1
0.38551732, 0, 1
0.38551984, 0, 0
0.38552236, 1, 0
0.38552740, 0, 0
0.38552762, 0, 1
0.38553244, 1, 1
0.38553748, 0, 1
0.38554252, 1, 1
0.38554756, 0, 1
0.38555260, 1, 1
0.38555764, 0, 1
0.38556268, 1, 1
0.38556772, 0, 1
0.38557276, 1, 1
0.38557780, 0, 1
0.38558284, 1, 1
0.38558788, 0, 1
0.38559292, 1, 1
0.38559796, 0, 1
0.38560300, 1, 1
0.38560804, 0, 1
0.38561056, 0, 0
0.38561308, 1, 0
0.38561812, 0, 0
0.38561834, 0, 1
0.38562316, 1, 1
0.38562820, 0, 1
0.38563324, 1, 1
0.38563828, 0, 1
0.38564332, 1, 1
0.38564836, 0, 1
0.38565340, 1, 1
0.38565844, 0, 1
0.38566348, 1, 1
0.38566852, 0, 1
0.38567356, 1, 1
0.38567860, 0, 1
0.38568364, 1, 1
0.38568868, 0, 1
0.38569372, 1, 1
